"","X","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_test_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"1",251,0,2,3,5,0,4,1,0,0,0,79,"09-10-23","13:13:55","rscl84",1788,"tri6.png",6,1,"tri",-120,120,"sqa1.png",1,1,"sqa",0,-120,"sqa4.png",4,1,"sqa",120,-120,"tri4.png",4,1,"tri",120,0,"cir4.png",4,1,"cir",-120,0,"",NA,"",NA,NA,"left",1212,1,1699532057860,"p3sarrshacol4.png","sarrshacol","new"
"2",252,5,4,0,1,3,0,2,0,0,0,79,"09-10-23","13:13:55","rscl84",1788,"cir5.png",5,1,"cir",-120,0,"sqa1.png",1,1,"sqa",-120,120,"tri3.png",3,1,"tri",0,0,"tri3.png",3,1,"tri",0,-120,"tri1.png",1,1,"tri",-120,-120,"",NA,"",NA,NA,"left",1212,2,1699532057860,"p3sarrshacol4.png","sarrshacol","new"
"3",253,0,1,4,5,2,3,0,0,0,0,79,"09-10-23","13:13:55","rscl84",1788,"sqa5.png",5,1,"sqa",0,-120,"cir4.png",4,1,"cir",0,0,"tri1.png",1,1,"tri",120,0,"cir6.png",6,1,"cir",120,-120,"sqa4.png",4,1,"sqa",-120,0,"",NA,"",NA,NA,"left",1212,3,1699532057860,"p3sarrshacol4.png","sarrshacol","new"
"4",254,0,0,0,4,1,0,3,5,2,0,79,"09-10-23","13:13:55","rscl84",1788,"sqa3.png",3,1,"sqa",0,0,"tri2.png",2,1,"tri",120,120,"cir6.png",6,1,"cir",-120,120,"cir1.png",1,1,"cir",-120,0,"sqa6.png",6,1,"sqa",0,120,"",NA,"",NA,NA,"left",1212,4,1699532057860,"p3sarrshacol4.png","sarrshacol","new"
"5",336,4,5,0,1,2,3,0,0,0,0,79,"08-10-23","20:05:46","q8s07a",1238,"sqa2.png",2,1,"sqa",-120,0,"sqa2.png",2,1,"sqa",0,0,"cir3.png",3,1,"cir",120,0,"tri4.png",4,1,"tri",-120,-120,"tri4.png",4,1,"tri",0,-120,"",NA,"",NA,NA,"left",1762,1,1699470428261,"p3sarrshacol4.png","sarrshacol","new"
"6",337,0,3,4,5,2,1,0,0,0,0,79,"08-10-23","20:05:46","q8s07a",1238,"tri2.png",2,1,"tri",120,0,"cir6.png",6,1,"cir",0,0,"sqa5.png",5,1,"sqa",0,-120,"cir3.png",3,1,"cir",120,-120,"sqa4.png",4,1,"sqa",-120,0,"tri0.png",1,"tri",-120,120,"left",1762,2,1699470428261,"p3sarrshacol4.png","sarrshacol","new"
"7",338,2,3,0,5,1,4,0,0,0,0,79,"08-10-23","20:05:46","q8s07a",1238,"cir2.png",2,1,"cir",0,0,"sqa5.png",5,1,"sqa",-120,-120,"cir4.png",4,1,"cir",0,-120,"tri3.png",3,1,"tri",120,0,"sqa6.png",6,1,"sqa",-120,0,"tri0.png",1,"tri",-120,120,"left",1762,3,1699470428261,"p3sarrshacol4.png","sarrshacol","new"
"8",339,5,2,0,3,1,0,4,0,0,0,79,"08-10-23","20:05:46","q8s07a",1238,"tri4.png",4,1,"tri",0,0,"tri4.png",4,1,"tri",0,-120,"cir2.png",2,1,"cir",-120,0,"sqa3.png",3,1,"sqa",-120,120,"tri4.png",4,1,"tri",-120,-120,"tri0.png",1,"tri",-120,120,"left",1762,4,1699470428261,"p3sarrshacol4.png","sarrshacol","new"
"9",421,3,0,4,0,1,0,2,0,5,0,79,"07-10-23","21:42:50","ofy9h2",2309,"cir2.png",2,1,"cir",0,0,"sqa4.png",4,1,"sqa",-120,120,"sqa4.png",4,1,"sqa",-120,-120,"sqa4.png",4,1,"sqa",120,-120,"tri1.png",1,1,"tri",120,120,"",NA,"",NA,NA,"left",691,1,1699389785935,"p3sarrshacol4.png","sarrshacol","new"
"10",422,0,0,4,5,0,2,3,0,1,0,79,"07-10-23","21:42:50","ofy9h2",2309,"cir5.png",5,1,"cir",120,120,"cir5.png",5,1,"cir",120,0,"sqa4.png",4,1,"sqa",-120,120,"sqa3.png",3,1,"sqa",120,-120,"tri2.png",2,1,"tri",-120,0,"",NA,"",NA,NA,"left",691,2,1699389785935,"p3sarrshacol4.png","sarrshacol","new"
"11",423,2,0,5,0,0,4,3,0,1,0,79,"07-10-23","21:42:50","ofy9h2",2309,"sqa5.png",5,1,"sqa",120,120,"cir1.png",1,1,"cir",-120,-120,"sqa5.png",5,1,"sqa",-120,120,"tri6.png",6,1,"tri",120,0,"sqa4.png",4,1,"sqa",120,-120,"",NA,"",NA,NA,"left",691,3,1699389785935,"p3sarrshacol4.png","sarrshacol","new"
"12",424,2,0,4,0,0,5,0,3,1,0,79,"07-10-23","21:42:50","ofy9h2",2309,"sqa1.png",1,1,"sqa",120,120,"tri1.png",1,1,"tri",-120,-120,"cir4.png",4,1,"cir",0,120,"sqa5.png",5,1,"sqa",120,-120,"sqa3.png",3,1,"sqa",120,0,"",NA,"",NA,NA,"left",691,4,1699389785935,"p3sarrshacol4.png","sarrshacol","new"
"13",506,0,5,2,3,0,4,1,0,0,0,79,"29-09-23","21:44:32","de09tx",1944,"tri6.png",6,1,"tri",-120,120,"sqa5.png",5,1,"sqa",120,-120,"cir4.png",4,1,"cir",-120,0,"tri1.png",1,1,"tri",120,0,"sqa4.png",4,1,"sqa",0,-120,"",NA,"",NA,NA,"left",1056,1,1698612325829,"p3sarrshacol4.png","sarrshacol","new"
"14",507,0,3,4,0,5,2,0,1,0,0,79,"29-09-23","21:44:32","de09tx",1944,"sqa1.png",1,1,"sqa",0,120,"sqa1.png",1,1,"sqa",120,0,"tri1.png",1,1,"tri",0,-120,"tri1.png",1,1,"tri",120,-120,"cir4.png",4,1,"cir",0,0,"",NA,"",NA,NA,"left",1056,2,1698612325829,"p3sarrshacol4.png","sarrshacol","new"
"15",508,2,5,0,3,1,4,0,0,0,0,79,"29-09-23","21:44:32","de09tx",1944,"cir1.png",1,1,"cir",0,0,"cir5.png",5,1,"cir",-120,-120,"sqa4.png",4,1,"sqa",-120,0,"tri6.png",6,1,"tri",120,0,"cir6.png",6,1,"cir",0,-120,"",NA,"",NA,NA,"left",1056,3,1698612325829,"p3sarrshacol4.png","sarrshacol","new"
"16",509,1,2,3,0,4,5,0,0,0,0,79,"29-09-23","21:44:32","de09tx",1944,"sqa2.png",2,1,"sqa",-120,-120,"cir1.png",1,1,"cir",0,-120,"cir6.png",6,1,"cir",120,-120,"sqa5.png",5,1,"sqa",0,0,"tri5.png",5,1,"tri",120,0,"",NA,"",NA,NA,"left",1056,4,1698612325829,"p3sarrshacol4.png","sarrshacol","new"
"17",591,0,5,4,0,1,2,0,3,0,0,79,"23-09-23","16:01:36","nuh7lp",1694,"sqa1.png",1,1,"sqa",0,0,"tri3.png",3,1,"tri",120,0,"cir1.png",1,1,"cir",0,120,"tri3.png",3,1,"tri",120,-120,"tri4.png",4,1,"tri",0,-120,"",NA,"",NA,NA,"left",1306,1,1698069696645,"p3sarrshacol4.png","sarrshacol","new"
"18",592,0,5,4,0,2,1,3,0,0,0,79,"23-09-23","16:01:36","nuh7lp",1694,"sqa1.png",1,1,"sqa",120,0,"cir3.png",3,1,"cir",0,0,"cir2.png",2,1,"cir",-120,120,"tri4.png",4,1,"tri",120,-120,"tri4.png",4,1,"tri",0,-120,"cir0.png",1,"cir",120,120,"left",1306,2,1698069696645,"p3sarrshacol4.png","sarrshacol","new"
"19",593,0,0,0,5,2,0,4,3,1,0,79,"23-09-23","16:01:36","nuh7lp",1694,"cir4.png",4,1,"cir",120,120,"tri1.png",1,1,"tri",0,0,"sqa3.png",3,1,"sqa",0,120,"sqa6.png",6,1,"sqa",-120,120,"sqa6.png",6,1,"sqa",-120,0,"cir0.png",1,"cir",120,120,"left",1306,3,1698069696645,"p3sarrshacol4.png","sarrshacol","new"
"20",594,0,0,0,3,5,2,1,0,4,0,79,"23-09-23","16:01:36","nuh7lp",1694,"cir4.png",4,1,"cir",-120,120,"tri1.png",1,1,"tri",120,0,"cir3.png",3,1,"cir",-120,0,"sqa2.png",2,1,"sqa",120,120,"tri4.png",4,1,"tri",0,0,"cir0.png",1,"cir",120,120,"left",1306,4,1698069696645,"p3sarrshacol4.png","sarrshacol","new"
"21",676,0,2,4,5,3,1,0,0,0,0,79,"21-09-23","12:26:02","gvpu1v",1736,"cir3.png",3,1,"cir",120,0,"sqa4.png",4,1,"sqa",0,-120,"tri1.png",1,1,"tri",0,0,"sqa1.png",1,1,"sqa",120,-120,"tri1.png",1,1,"tri",-120,0,"",NA,"",NA,NA,"down",1264,1,1697883985373,"p3sarrshacol4.png","sarrshacol","new"
"22",677,0,5,1,0,2,3,0,4,0,0,79,"21-09-23","12:26:02","gvpu1v",1736,"cir3.png",3,1,"cir",120,-120,"tri1.png",1,1,"tri",0,0,"cir3.png",3,1,"cir",120,0,"sqa4.png",4,1,"sqa",0,120,"sqa4.png",4,1,"sqa",0,-120,"",NA,"",NA,NA,"down",1264,2,1697883985373,"p3sarrshacol4.png","sarrshacol","new"
"23",678,0,3,2,1,5,4,0,0,0,0,79,"21-09-23","12:26:02","gvpu1v",1736,"tri6.png",6,1,"tri",-120,0,"sqa4.png",4,1,"sqa",120,-120,"sqa3.png",3,1,"sqa",0,-120,"tri4.png",4,1,"tri",120,0,"cir4.png",4,1,"cir",0,0,"tri0.png",1,"tri",-120,120,"down",1264,3,1697883985373,"p3sarrshacol4.png","sarrshacol","new"
"24",679,5,1,4,0,3,2,0,0,0,0,79,"21-09-23","12:26:02","gvpu1v",1736,"sqa4.png",4,1,"sqa",0,-120,"sqa3.png",3,1,"sqa",120,0,"tri4.png",4,1,"tri",0,0,"sqa1.png",1,1,"sqa",120,-120,"cir1.png",1,1,"cir",-120,-120,"sqa0.png",1,"sqa",-120,0,"down",1264,4,1697883985373,"p3sarrshacol4.png","sarrshacol","new"
"25",761,5,1,0,4,2,0,3,0,0,0,79,"19-09-23","18:20:21","oggjr0",2176,"tri5.png",5,1,"tri",0,-120,"tri5.png",5,1,"tri",0,0,"sqa1.png",1,1,"sqa",-120,120,"cir5.png",5,1,"cir",-120,0,"sqa1.png",1,1,"sqa",-120,-120,"",NA,"",NA,NA,"right",824,1,1697732494336,"p3sarrshacol4.png","sarrshacol","new"
"26",762,3,2,5,4,1,0,0,0,0,0,79,"19-09-23","18:20:21","oggjr0",2176,"sqa2.png",2,1,"sqa",0,0,"tri1.png",1,1,"tri",0,-120,"cir3.png",3,1,"cir",-120,-120,"cir3.png",3,1,"cir",-120,0,"tri1.png",1,1,"tri",120,-120,"tri0.png",1,"tri",120,120,"right",824,2,1697732494336,"p3sarrshacol4.png","sarrshacol","new"
"27",763,0,5,0,0,2,1,0,4,3,0,79,"19-09-23","18:20:21","oggjr0",2176,"sqa4.png",4,1,"sqa",120,0,"cir3.png",3,1,"cir",0,0,"sqa1.png",1,1,"sqa",120,120,"cir1.png",1,1,"cir",0,120,"cir3.png",3,1,"cir",0,-120,"tri0.png",1,"tri",120,120,"right",824,3,1697732494336,"p3sarrshacol4.png","sarrshacol","new"
"28",764,0,0,0,2,4,3,0,5,1,0,79,"19-09-23","18:20:21","oggjr0",2176,"tri4.png",4,1,"tri",120,120,"cir1.png",1,1,"cir",-120,0,"tri4.png",4,1,"tri",120,0,"tri4.png",4,1,"tri",0,0,"sqa2.png",2,1,"sqa",0,120,"cir0.png",1,"cir",-120,120,"right",824,4,1697732494336,"p3sarrshacol4.png","sarrshacol","new"
"29",931,0,1,4,0,5,2,0,3,0,0,79,"15-09-23","22:19:56","y8k6nj",1470,"sqa1.png",1,1,"sqa",0,-120,"tri3.png",3,1,"tri",120,0,"sqa1.png",1,1,"sqa",0,120,"cir3.png",3,1,"cir",120,-120,"sqa1.png",1,1,"sqa",0,0,"",NA,"",NA,NA,"left",1530,1,1697401200570,"p3sarrshacol4.png","sarrshacol","new"
"30",932,0,3,4,0,2,1,0,5,0,0,79,"15-09-23","22:19:56","y8k6nj",1470,"sqa1.png",1,1,"sqa",120,0,"cir3.png",3,1,"cir",0,0,"cir3.png",3,1,"cir",0,-120,"tri2.png",2,1,"tri",120,-120,"cir3.png",3,1,"cir",0,120,"",NA,"",NA,NA,"left",1530,2,1697401200570,"p3sarrshacol4.png","sarrshacol","new"
"31",933,0,0,0,1,4,0,3,5,2,0,79,"15-09-23","22:19:56","y8k6nj",1470,"tri3.png",3,1,"tri",-120,0,"sqa5.png",5,1,"sqa",120,120,"cir4.png",4,1,"cir",-120,120,"sqa5.png",5,1,"sqa",0,0,"sqa5.png",5,1,"sqa",0,120,"sqa0.png",1,"sqa",120,0,"left",1530,3,1697401200570,"p3sarrshacol4.png","sarrshacol","new"
